5104 [[15, 12, 1], [16, 10, 2], [15, 10, 9]]
5832 [[18, 0, 0], [16, 12, 2], [15, 12, 9]]
9288 [[21, 3, 0], [17, 15, 10], [18, 12, 12]]
9729 [[20, 12, 1], [21, 7, 5], [20, 10, 9]]
10261 [[21, 10, 0], [19, 15, 3], [20, 13, 4]]
10773 [[22, 5, 0], [21, 10, 8], [18, 14, 13]]
12104 [[20, 16, 2], [22, 11, 5], [20, 15, 9]]
12221 [[23, 3, 3], [20, 16, 5], [21, 14, 6]]
12384 [[23, 6, 1], [22, 12, 2], [17, 16, 15]]
13896 [[23, 12, 1], [24, 4, 2], [20, 18, 4], [23, 10, 9]]
14175 [[21, 17, 1], [24, 7, 2], [20, 18, 7]]
17604 [[26, 3, 1], [21, 20, 7], [19, 18, 17]]
17928 [[24, 16, 2], [24, 15, 9], [20, 18, 16]]
19034 [[23, 19, 2], [21, 21, 8], [26, 9, 9]]
20691 [[27, 10, 2], [24, 19, 2], [20, 19, 18]]
21412 [[27, 12, 1], [27, 10, 9], [24, 19, 9]]
21888 [[27, 13, 2], [24, 20, 4], [26, 16, 6]]
24416 [[29, 3, 0], [24, 21, 11], [26, 16, 14]]
24480 [[24, 22, 2], [29, 4, 3], [22, 20, 18]]
28792 [[30, 12, 4], [25, 23, 10], [28, 16, 14]]
29457 [[25, 24, 2], [30, 12, 9], [25, 20, 18]]
30528 [[31, 9, 2], [30, 13, 11], [28, 18, 14]]
31221 [[28, 21, 2], [30, 16, 5], [29, 18, 10]]
32850 [[27, 23, 10], [31, 12, 11], [24, 23, 19]]
34497 [[32, 12, 1], [32, 10, 9], [31, 15, 11]]
35216 [[26, 26, 4], [30, 20, 6], [31, 17, 8]]
36288 [[33, 7, 2], [30, 21, 3], [28, 24, 8]]
38259 [[33, 13, 5], [27, 26, 10], [26, 24, 19]]
39339 [[34, 3, 2], [33, 15, 3], [27, 24, 18]]
39376 [[34, 4, 2], [33, 15, 4], [30, 22, 12]]
39528 [[28, 26, 0], [34, 6, 2], [33, 15, 6]]
40041 [[34, 9, 2], [33, 16, 2], [29, 25, 3], [33, 15, 9]]
40060 [[34, 9, 3], [33, 16, 3], [26, 25, 19]]
40097 [[34, 9, 4], [33, 16, 4], [25, 24, 22]]
40832 [[30, 24, 2], [32, 20, 4], [30, 20, 18]]
40851 [[33, 17, 1], [30, 24, 3], [34, 11, 6]]
41033 [[34, 12, 1], [34, 10, 9], [33, 16, 10]]
41040 [[34, 12, 2], [30, 24, 6], [33, 15, 12]]
41364 [[34, 11, 9], [33, 16, 11], [30, 23, 13]]
41966 [[29, 26, 1], [31, 23, 2], [34, 11, 11]]
42056 [[34, 14, 2], [32, 21, 3], [33, 15, 14]]
42687 [[34, 15, 2], [31, 23, 9], [33, 15, 15]]
43408 [[34, 16, 2], [34, 15, 9], [33, 16, 15]]
44946 [[35, 12, 7], [34, 17, 9], [31, 24, 11], [33, 17, 16]]
45072 [[35, 13, 0], [29, 27, 10], [29, 24, 19]]
45144 [[34, 18, 2], [32, 22, 12], [33, 18, 15]]
46593 [[32, 24, 1], [33, 22, 2], [35, 15, 7]]
46656 [[36, 0, 0], [32, 24, 4], [30, 24, 18]]
46684 [[36, 3, 1], [30, 27, 1], [29, 28, 7]]
46710 [[36, 3, 3], [30, 27, 3], [33, 22, 5]]
46747 [[36, 4, 3], [30, 27, 4], [31, 25, 11]]
46808 [[36, 5, 3], [30, 27, 5], [32, 24, 6]]
47683 [[36, 10, 3], [30, 27, 10], [30, 24, 19]]
48014 [[36, 11, 3], [30, 27, 11], [29, 25, 20]]
48168 [[33, 23, 4], [36, 10, 8], [29, 27, 16]]
48313 [[33, 22, 12], [34, 17, 16], [31, 21, 21]]
50681 [[37, 3, 1], [34, 22, 9], [33, 22, 16]]
50779 [[37, 5, 1], [36, 16, 3], [30, 27, 16]]
51596 [[36, 17, 3], [34, 23, 5], [30, 27, 17]]
52200 [[35, 21, 4], [37, 11, 6], [34, 23, 9], [33, 23, 16]]
52515 [[36, 18, 3], [32, 27, 4], [30, 27, 18]]
53136 [[34, 24, 2], [35, 21, 10], [33, 24, 15], [34, 20, 18]]
54244 [[31, 29, 4], [37, 15, 6], [36, 19, 9]]
54720 [[32, 28, 0], [36, 20, 4], [29, 27, 22]]
54937 [[38, 4, 1], [34, 25, 2], [33, 25, 15]]
55385 [[38, 8, 1], [35, 23, 7], [36, 20, 9]]
55944 [[36, 21, 3], [38, 9, 7], [30, 27, 21]]
56384 [[38, 10, 8], [36, 20, 12], [34, 23, 17]]
57520 [[37, 19, 2], [36, 22, 6], [31, 30, 9]]
58995 [[34, 27, 2], [38, 16, 3], [33, 27, 15], [35, 21, 19]]
59832 [[39, 8, 1], [32, 30, 4], [30, 30, 18]]
60451 [[35, 26, 0], [33, 29, 5], [32, 27, 20]]
64259 [[39, 17, 3], [36, 26, 3], [30, 27, 26]]
64422 [[34, 29, 9], [39, 15, 12], [33, 29, 16]]
65563 [[32, 32, 3], [39, 17, 11], [36, 26, 11]]
65729 [[40, 12, 1], [33, 31, 1], [40, 10, 9]]
65736 [[40, 12, 2], [33, 31, 2], [38, 22, 6]]
65960 [[39, 17, 12], [36, 26, 12], [35, 24, 21]]
66205 [[40, 13, 2], [39, 19, 3], [37, 24, 12]]
66312 [[34, 30, 2], [33, 30, 15], [36, 24, 18]]
66429 [[34, 30, 5], [39, 17, 13], [36, 26, 13]]
67607 [[35, 29, 7], [39, 17, 15], [36, 26, 15]]
68921 [[41, 0, 0], [40, 17, 2], [33, 32, 6]]
68923 [[41, 1, 1], [39, 21, 7], [35, 28, 16]]
69047 [[41, 5, 1], [39, 20, 12], [34, 26, 23]]
69103 [[34, 31, 2], [40, 15, 12], [33, 31, 15]]
69145 [[41, 6, 2], [39, 17, 17], [36, 26, 17]]
69824 [[34, 31, 9], [40, 16, 12], [33, 31, 16]]
70433 [[41, 10, 8], [33, 32, 12], [38, 22, 17]]
72512 [[38, 26, 4], [41, 15, 6], [40, 20, 8]]
73207 [[39, 24, 4], [40, 18, 15], [32, 31, 22]]
73683 [[36, 30, 3], [39, 23, 13], [30, 30, 27]]
73872 [[36, 30, 6], [39, 24, 9], [38, 25, 15]]
74304 [[42, 6, 0], [34, 30, 20], [36, 24, 24]]
75160 [[39, 25, 6], [42, 9, 7], [40, 22, 8]]
75249 [[34, 33, 2], [33, 33, 15], [37, 27, 17]]
76168 [[40, 23, 1], [34, 32, 16], [37, 27, 18], [38, 22, 22]]
76896 [[39, 26, 1], [42, 14, 4], [40, 23, 9]]
77832 [[40, 24, 2], [42, 14, 10], [40, 20, 18]]
77895 [[39, 26, 10], [40, 23, 12], [33, 31, 23]]
79155 [[35, 33, 7], [40, 24, 11], [41, 19, 15]]
79633 [[43, 5, 1], [40, 25, 2], [41, 22, 4]]
80263 [[43, 9, 3], [42, 18, 7], [40, 23, 16]]
80452 [[37, 31, 2], [43, 9, 6], [35, 28, 25]]
82088 [[42, 20, 0], [38, 30, 6], [40, 26, 8], [41, 23, 10]]
82278 [[43, 14, 3], [42, 19, 11], [41, 21, 16], [33, 29, 28]]
82522 [[35, 34, 7], [40, 21, 21], [33, 33, 22]]
85968 [[36, 34, 2], [36, 33, 15], [38, 30, 16]]
86184 [[44, 10, 0], [42, 20, 16], [39, 28, 17], [36, 28, 26]]
